province_code,district_code,subdistrict_code,province_name,district_name,subdistrict_name
10,01,0100,กรุงเทพมหานคร,เขตพระนคร,พระบรมมหาราชวัง
10,01,0200,กรุงเทพมหานคร,เขตพระนคร,วังบูรพาภิรมย์
10,01,0300,กรุงเทพมหานคร,เขตพระนคร,วัดราชบพิธ
10,01,0400,กรุงเทพมหานคร,เขตพระนคร,สำราญราษฎร์
10,01,0500,กรุงเทพมหานคร,เขตพระนคร,ศาลเจ้าพ่อเสือ
10,01,0600,กรุงเทพมหานคร,เขตพระนคร,เสาชิงช้า
10,01,0700,กรุงเทพมหานคร,เขตพระนคร,บวรนิเวศ
10,01,0800,กรุงเทพมหานคร,เขตพระนคร,ตลาดยอด
10,01,0900,กรุงเทพมหานคร,เขตพระนคร,ชนะสงคราม
10,01,1000,กรุงเทพมหานคร,เขตพระนคร,บ้านพานถม
10,01,1100,กรุงเทพมหานคร,เขตพระนคร,บางขุนพรหม
10,01,1200,กรุงเทพมหานคร,เขตพระนคร,วัดสามพระยา
10,02,0100,กรุงเทพมหานคร,เขตดุสิต,ดุสิต
10,02,0200,กรุงเทพมหานคร,เขตดุสิต,วชิรพยาบาล
10,02,0300,กรุงเทพมหานคร,เขตดุสิต,สวนจิตรลดา
10,02,0400,กรุงเทพมหานคร,เขตดุสิต,สี่แยกมหานาค
10,02,0600,กรุงเทพมหานคร,เขตดุสิต,ถนนนครไชยศรี
10,03,0100,กรุงเทพมหานคร,เขตหนองจอก,กระทุ่มราย
10,03,0200,กรุงเทพมหานคร,เขตหนองจอก,หนองจอก
10,03,0300,กรุงเทพมหานคร,เขตหนองจอก,คลองสิบ
10,03,0400,กรุงเทพมหานคร,เขตหนองจอก,คลองสิบสอง
10,03,0500,กรุงเทพมหานคร,เขตหนองจอก,โคกแฝด
10,03,0600,กรุงเทพมหานคร,เขตหนองจอก,คู้ฝั่งเหนือ
10,03,0700,กรุงเทพมหานคร,เขตหนองจอก,ลำผักชี
10,03,0800,กรุงเทพมหานคร,เขตหนองจอก,ลำต้อยติ่ง
10,04,0100,กรุงเทพมหานคร,เขตบางรัก,มหาพฤฒาราม
10,04,0200,กรุงเทพมหานคร,เขตบางรัก,สีลม
10,04,0300,กรุงเทพมหานคร,เขตบางรัก,สุริยวงศ์
10,04,0400,กรุงเทพมหานคร,เขตบางรัก,บางรัก
10,04,0500,กรุงเทพมหานคร,เขตบางรัก,สี่พระยา
10,05,0200,กรุงเทพมหานคร,เขตบางเขน,อนุสาวรีย์
10,05,0800,กรุงเทพมหานคร,เขตบางเขน,ท่าแร้ง
