TAMBON_T,AMPHOE_T,CHANGWAT_T,LAT,LONG
เกาะสาหร่าย,เมืองสตูล,สตูล,6.546,99.706
มาบตาพุด,เมืองระยอง,ระยอง,12.646,101.171
มาบตาพุด,เมืองระยอง,ระยอง,12.645,101.170
มาบตาพุด,เมืองระยอง,ระยอง,12.649,101.174
มาบตาพุด,เมืองระยอง,ระยอง,12.644,101.169
หาดทรายรี,เมืองชุมพร,ชุมพร,10.459,99.403
ด่านสวี,สวี,ชุมพร,10.291,99.241
ท่าตูม,เมืองมหาสารคาม,มหาสารคาม,16.162,103.484
อ่างทอง,เกาะสมุย,สุราษฎร์ธานี,9.708,99.675
อ่างทอง,เกาะสมุย,สุราษฎร์ธานี,9.796,99.713
อ่างทอง,เกาะสมุย,สุราษฎร์ธานี,9.677,99.659
สัตหีบ,สัตหีบ,ชลบุรี,12.611,100.889
ตะเสะ,หาดสำราญ,ตรัง,7.033,99.449
หาดทรายรี,เมืองชุมพร,ชุมพร,10.477,99.369
ปากคลอง,ปะทิว,ชุมพร,10.862,99.486
ปากตะโก,ทุ่งตะโก,ชุมพร,10.165,99.176
ปากคลอง,ปะทิว,ชุมพร,10.800,99.538
เกาะสาหร่าย,เมืองสตูล,สตูล,6.672,99.844
อ่างทอง,เกาะสมุย,สุราษฎร์ธานี,9.767,99.668
หาดทรายรี,เมืองชุมพร,ชุมพร,10.466,99.359
ปากตะโก,ทุ่งตะโก,ชุมพร,10.131,99.165
เกาะสาหร่าย,เมืองสตูล,สตูล,6.705,99.799
ตะเสะ,หาดสำราญ,ตรัง,6.984,99.473
ด่านสวี,สวี,ชุมพร,10.197,99.221
ปากตะโก,ทุ่งตะโก,ชุมพร,10.118,99.216
ตะเสะ,หาดสำราญ,ตรัง,7.067,99.398
ปากคลอง,ปะทิว,ชุมพร,10.782,99.530
บางกะไชย,แหลมสิงห์,จันทบุรี,12.465,102.066
ตะเสะ,หาดสำราญ,ตรัง,7.016,99.445
ปากคลอง,ปะทิว,ชุมพร,10.840,99.497
เกาะสาหร่าย,เมืองสตูล,สตูล,6.710,99.794
อ่างทอง,เกาะสมุย,สุราษฎร์ธานี,9.707,99.676
เกาะพระทอง,คุระบุรี,พังงา,9.406,97.901
แสมสาร,สัตหีบ,ชลบุรี,12.616,100.918
ตะเสะ,หาดสำราญ,ตรัง,7.075,99.451
เกาะหมาก,เกาะกูด,ตราด,11.817,102.397
